╠Ю╨е,и╚тС,╦Ы╣ы,гциЫ,нфюМ,фЙ╡©,╢╔╦п,╨ц╧о
1,гЮбл,РИкУ,вгоЛ,гЕнЗ,╟╪ощ,с╡╩╛,йг
2,нз╨з,РИкУ,Ёацф,гЕнЗ,╟╪ощ,с╡╩╛,йг
3,нз╨з,РИкУ,вгоЛ,гЕнЗ,╟╪ощ,с╡╩╛,йг
4,гЮбл,РИкУ,Ёацф,гЕнЗ,╟╪ощ,с╡╩╛,йг
5,гЁ╟в,РИкУ,вгоЛ,гЕнЗ,╟╪ощ,с╡╩╛,йг
6,гЮбл,итРИ,вгоЛ,гЕнЗ,ит╟╪,хМуЁ,йг
7,нз╨з,итРИ,вгоЛ,ит╨Щ,ит╟╪,хМуЁ,йг
8,нз╨з,итРИ,вгоЛ,гЕнЗ,ит╟╪,с╡╩╛,йг
9,нз╨з,итРИ,Ёацф,ит╨Щ,ит╟╪,с╡╩╛,╥Я
10,гЮбл,с╡м╕,гЕ╢Ю,гЕнЗ,ф╫л╧,хМуЁ,╥Я
11,гЁ╟в,с╡м╕,гЕ╢Ю,дё╨Щ,ф╫л╧,с╡╩╛,╥Я
12,гЁ╟в,РИкУ,вгоЛ,дё╨Щ,ф╫л╧,хМуЁ,╥Я
13,гЮбл,итРИ,вгоЛ,ит╨Щ,╟╪ощ,с╡╩╛,╥Я
14,гЁ╟в,итРИ,Ёацф,ит╨Щ,╟╪ощ,с╡╩╛,╥Я
15,нз╨з,итРИ,вгоЛ,гЕнЗ,ит╟╪,хМуЁ,╥Я
16,гЁ╟в,РИкУ,вгоЛ,дё╨Щ,ф╫л╧,с╡╩╛,╥Я
17,гЮбл,РИкУ,Ёацф,ит╨Щ,ит╟╪,с╡╩╛,╥Я
